DATE,Price
10/1/17,1.54
11/1/17,1.506
12/1/17,1.815
1/1/18,1.769
2/1/18,1.755
3/1/18,1.831
4/1/18,2.081
5/1/18,1.987
6/1/18,1.628
7/1/18,1.725
8/1/18,1.622
9/1/18,1.651
10/1/18,1.66
11/1/18,1.596
12/1/18,1.595
1/1/19,1.554
2/1/19,1.557
3/1/19,1.544
4/1/19,1.463
5/1/19,1.362
6/1/19,1.203
7/1/19,1.243
8/1/19,1.219
9/1/19,1.383
10/1/19,1.282
11/1/19,1.405
12/1/19,1.535
1/1/20,1.461
2/1/20,1.449
3/1/20,1.525
4/1/20,2.019
5/1/20,1.64
6/1/20,1.554
7/1/20,1.401
8/1/20,1.328
9/1/20,1.353
10/1/20,1.408
11/1/20,1.45
12/1/20,1.481
1/1/21,1.466
2/1/21,1.597
3/1/21,1.625
4/1/21,1.62
5/1/21,1.625
6/1/21,1.642
7/1/21,1.642
8/1/21,1.709
9/1/21,1.835
10/1/21,1.821
11/1/21,1.718
12/1/21,1.788
1/1/22,1.929
2/1/22,2.005
3/1/22,2.046
4/1/22,2.52
5/1/22,2.863
6/1/22,2.707
7/1/22,2.936
8/1/22,3.116
9/1/22,2.902
10/1/22,3.419
11/1/22,3.589
12/1/22,4.25
1/1/23,4.823
2/1/23,4.211
3/1/23,3.446
4/1/23,3.27
5/1/23,2.666
6/1/23,2.219
7/1/23,2.094
8/1/23,2.043
9/1/23,2.065
10/1/23,2.072
11/1/23,2.138
12/1/23,2.507
