Date,Open,High,Low,Close,Volume
10/28/2024,"233.32","234.73","232.55","233.40","36,087,129"
10/25/2024,"229.74","233.22","229.57","231.41","38,802,301"
10/24/2024,"229.98","230.82","228.41","230.57","31,109,500"
10/23/2024,"234.08","235.14","227.76","230.76","52,286,980"
10/22/2024,"233.89","236.22","232.60","235.86","38,846,578"
10/21/2024,"234.45","236.85","234.45","236.48","36,254,473"
10/18/2024,"236.18","236.18","234.01","235.00","46,431,473"
10/17/2024,"233.43","233.85","230.52","232.15","32,993,809"
10/16/2024,"231.60","232.12","229.84","231.78","34,082,238"
10/15/2024,"233.61","237.49","232.37","233.85","64,751,367"
10/14/2024,"228.70","231.73","228.60","231.30","39,882,090"
10/11/2024,"229.30","229.41","227.34","227.55","31,759,189"
10/10/2024,"227.78","229.50","227.17","229.04","28,183,539"
10/09/2024,"225.23","229.75","224.83","229.54","33,591,090"
10/08/2024,"224.30","225.98","223.25","225.77","31,855,689"
10/07/2024,"224.50","225.69","221.33","221.69","39,505,352"
10/04/2024,"227.90","228.00","224.13","226.80","37,345,102"
10/03/2024,"225.14","226.81","223.32","225.67","34,044,160"
10/02/2024,"225.89","227.37","223.02","226.78","32,880,609"
10/01/2024,"229.52","229.65","223.74","226.21","63,285,047"
09/30/2024,"230.04","233.00","229.65","233.00","54,793,391"
09/27/2024,"228.46","229.52","227.30","227.79","34,025,969"
09/26/2024,"227.30","228.50","225.41","227.52","36,636,711"
09/25/2024,"224.93","227.29","224.02","226.37","42,308,719"
09/24/2024,"228.65","229.35","225.73","227.37","43,556,070"
09/23/2024,"227.34","229.45","225.81","226.47","54,146,020"
09/20/2024,"229.97","233.09","227.62","228.20","318,679,906"
09/19/2024,"224.99","229.82","224.63","228.87","66,781,320"
09/18/2024,"217.55","222.71","217.54","220.69","59,894,930"
09/17/2024,"215.75","216.90","214.50","216.79","45,519,340"
09/16/2024,"216.54","217.22","213.92","216.32","59,357,434"
09/13/2024,"223.58","224.04","221.91","222.50","36,766,621"
09/12/2024,"222.50","223.55","219.82","222.77","37,498,230"
09/11/2024,"221.46","223.09","217.89","222.66","44,587,070"
09/10/2024,"218.92","221.48","216.73","220.11","51,591,031"
09/09/2024,"220.82","221.27","216.71","220.91","67,179,969"
09/06/2024,"223.95","225.24","219.77","220.82","48,423,008"
09/05/2024,"221.63","225.48","221.52","222.38","36,615,398"
09/04/2024,"221.66","221.78","217.48","220.85","43,840,199"
09/03/2024,"228.55","229.00","221.17","222.77","50,087,200"
08/30/2024,"230.19","230.40","227.48","229.00","52,990,770"
08/29/2024,"230.10","232.92","228.88","229.79","51,906,301"
08/28/2024,"227.92","229.86","225.68","226.49","38,052,168"
08/27/2024,"226.00","228.85","224.89","228.03","35,934,559"
08/26/2024,"226.76","227.28","223.89","227.18","30,602,211"
08/23/2024,"225.66","228.22","224.33","226.84","38,677,246"
08/22/2024,"227.79","228.34","223.90","224.53","43,695,320"
08/21/2024,"226.52","227.98","225.05","226.40","34,765,480"
08/20/2024,"225.77","227.17","225.45","226.51","30,299,029"
08/19/2024,"225.72","225.99","223.04","225.89","40,687,809"
08/16/2024,"223.92","226.83","223.65","226.05","44,340,238"
08/15/2024,"224.60","225.35","222.76","224.72","46,414,008"
08/14/2024,"220.57","223.03","219.70","221.72","41,960,566"
08/13/2024,"219.01","221.89","219.01","221.27","44,155,328"
08/12/2024,"216.07","219.51","215.60","217.53","38,028,090"
08/09/2024,"212.10","216.78","211.97","216.24","42,201,648"
08/08/2024,"213.11","214.20","208.83","213.31","47,161,152"
08/07/2024,"206.90","213.64","206.39","209.82","63,516,422"
08/06/2024,"205.30","209.99","201.07","207.23","69,660,484"
08/05/2024,"199.09","213.50","196.00","209.27","119,548,602"
08/02/2024,"219.15","225.60","217.71","219.86","105,568,602"
08/01/2024,"224.37","224.48","217.02","218.36","62,501,000"
07/31/2024,"221.44","223.82","220.63","222.08","50,036,262"
07/30/2024,"219.19","220.33","216.12","218.80","41,643,840"
07/29/2024,"216.96","219.30","215.75","218.24","36,311,781"
07/26/2024,"218.70","219.49","216.01","217.96","41,601,352"
07/25/2024,"218.93","220.85","214.62","217.49","51,391,199"
07/24/2024,"224.00","224.80","217.13","218.54","61,777,578"
07/23/2024,"224.37","226.94","222.68","225.01","39,960,262"
07/22/2024,"227.01","227.78","223.09","223.96","48,201,840"
07/19/2024,"224.82","226.80","223.28","224.31","49,151,449"
07/18/2024,"230.28","230.44","222.27","224.18","66,034,594"
07/17/2024,"229.45","231.46","226.64","228.88","57,345,879"
07/16/2024,"235.00","236.27","232.33","234.82","43,234,281"
07/15/2024,"236.48","237.23","233.09","234.40","62,631,246"
07/12/2024,"228.92","232.64","228.68","230.54","53,046,527"
07/11/2024,"231.39","232.39","225.77","227.57","64,710,621"
07/10/2024,"229.30","233.08","229.25","232.98","62,627,688"
07/09/2024,"227.93","229.40","226.37","228.68","48,169,820"
07/08/2024,"227.09","227.85","223.25","227.82","59,085,859"
07/05/2024,"221.65","226.45","221.65","226.34","60,412,406"
07/03/2024,"220.00","221.55","219.03","221.55","37,369,801"
07/02/2024,"216.15","220.38","215.10","220.27","58,046,180"
07/01/2024,"212.09","217.51","211.92","216.75","60,402,930"
06/28/2024,"215.77","216.07","210.30","210.62","82,542,719"
06/27/2024,"214.69","215.74","212.35","214.10","49,772,711"
06/26/2024,"211.50","214.86","210.64","213.25","66,213,195"
06/25/2024,"209.15","211.38","208.61","209.07","56,713,871"
06/24/2024,"207.72","212.70","206.59","208.14","80,727,008"
06/21/2024,"210.39","211.89","207.11","207.49","246,421,406"
06/20/2024,"213.93","214.24","208.85","209.68","86,172,445"
06/18/2024,"217.59","218.63","213.00","214.29","79,943,250"
06/17/2024,"213.37","218.95","212.72","216.67","93,728,305"
06/14/2024,"213.85","215.17","211.30","212.49","70,122,750"
06/13/2024,"214.74","216.75","211.60","214.24","97,862,727"
06/12/2024,"207.37","220.20","206.90","213.07","198,134,297"
06/11/2024,"193.65","207.16","193.63","207.15","172,373,297"
06/10/2024,"196.90","197.30","192.15","193.12","97,262,078"
06/07/2024,"194.65","196.94","194.14","196.89","53,103,910"
06/06/2024,"195.69","196.50","194.17","194.48","41,181,754"
06/05/2024,"195.40","196.90","194.87","195.87","54,156,793"
06/04/2024,"194.64","195.32","193.03","194.35","47,471,449"
06/03/2024,"192.90","194.99","192.52","194.03","50,080,539"
05/31/2024,"191.44","192.57","189.91","192.25","75,158,281"
05/30/2024,"190.76","192.18","190.63","191.29","49,947,941"
05/29/2024,"189.61","192.25","189.51","190.29","53,068,020"
05/28/2024,"191.51","193.00","189.10","189.99","52,280,047"
05/24/2024,"188.82","190.58","188.04","189.98","36,326,980"
05/23/2024,"190.98","191.00","186.63","186.88","51,005,922"
05/22/2024,"192.27","192.82","190.27","190.90","34,648,551"
05/21/2024,"191.09","192.73","190.92","192.35","42,309,398"
05/20/2024,"189.33","191.92","189.01","191.04","44,361,281"
05/17/2024,"189.51","190.81","189.18","189.87","41,282,930"
05/16/2024,"190.47","191.10","189.66","189.84","52,845,230"
05/15/2024,"187.91","190.65","187.37","189.72","70,399,992"
05/14/2024,"187.51","188.30","186.29","187.43","52,393,621"
05/13/2024,"185.44","187.10","184.62","186.28","72,044,805"
05/10/2024,"184.90","185.09","182.13","183.05","50,759,500"
05/09/2024,"182.56","184.66","182.11","184.57","48,982,969"
05/08/2024,"182.85","183.07","181.45","182.74","45,057,090"
05/07/2024,"183.45","184.90","181.32","182.40","77,305,766"
05/06/2024,"182.35","184.20","180.42","181.71","78,569,672"
05/03/2024,"186.65","187.00","182.66","183.38","163,224,094"
05/02/2024,"172.51","173.42","170.89","173.03","94,214,922"
05/01/2024,"169.58","172.71","169.11","169.30","50,383,152"
04/30/2024,"173.33","174.99","170.00","170.33","65,934,781"
04/29/2024,"173.37","176.03","173.10","173.50","68,169,422"
04/26/2024,"169.88","171.34","169.18","169.30","44,838,352"
04/25/2024,"169.53","170.61","168.15","169.89","50,558,328"
04/24/2024,"166.54","169.30","166.21","169.02","48,251,840"
04/23/2024,"165.35","167.05","164.92","166.90","49,537,762"
04/22/2024,"165.52","167.26","164.77","165.84","48,116,441"
04/19/2024,"166.21","166.40","164.08","165.00","68,149,375"
04/18/2024,"168.03","168.64","166.55","167.04","43,122,898"
04/17/2024,"169.61","170.65","168.00","168.00","50,901,207"
04/16/2024,"171.75","173.76","168.27","169.38","73,711,242"
04/15/2024,"175.36","176.63","172.50","172.69","73,531,766"
04/12/2024,"174.26","178.36","174.21","176.55","101,670,898"
04/11/2024,"168.34","175.46","168.16","175.04","91,070,281"
04/10/2024,"168.80","169.09","167.11","167.78","49,709,340"
04/09/2024,"168.70","170.08","168.35","169.67","42,451,207"
04/08/2024,"169.03","169.20","168.24","168.45","37,425,512"
04/05/2024,"169.59","170.39","168.95","169.58","42,104,832"
04/04/2024,"170.29","171.92","168.82","168.82","53,704,391"
04/03/2024,"168.79","170.68","168.58","169.65","47,691,719"
04/02/2024,"169.08","169.34","168.23","168.84","49,329,480"
04/01/2024,"171.19","171.25","169.48","170.03","46,240,500"
03/28/2024,"171.75","172.23","170.51","171.48","65,672,688"
03/27/2024,"170.41","173.60","170.11","173.31","60,273,273"
03/26/2024,"170.00","171.42","169.58","169.71","57,388,449"
03/25/2024,"170.57","171.94","169.45","170.85","54,288,328"
03/22/2024,"171.76","173.05","170.06","172.28","71,160,141"
03/21/2024,"177.05","177.49","170.84","171.37","106,181,297"
03/20/2024,"175.72","178.67","175.09","178.67","53,423,102"
03/19/2024,"174.34","176.61","173.03","176.08","55,215,238"
03/18/2024,"175.57","177.71","173.52","173.72","75,604,180"
03/15/2024,"171.17","172.62","170.29","172.62","121,752,703"
03/14/2024,"172.91","174.31","172.05","173.00","72,913,516"
03/13/2024,"172.77","173.19","170.76","171.13","52,488,688"
03/12/2024,"173.15","174.03","171.01","173.23","59,825,367"
03/11/2024,"172.94","174.38","172.05","172.75","60,139,473"
03/08/2024,"169.00","173.70","168.94","170.73","76,267,039"
03/07/2024,"169.15","170.73","168.49","169.00","71,765,055"
03/06/2024,"171.06","171.24","168.68","169.12","68,587,711"
03/05/2024,"170.76","172.04","169.62","170.12","95,132,359"
03/04/2024,"176.15","176.90","173.79","175.10","81,510,094"
03/01/2024,"179.55","180.53","177.38","179.66","73,563,078"
02/29/2024,"181.27","182.57","179.53","180.75","136,682,594"
02/28/2024,"182.51","183.12","180.13","181.42","48,953,941"
02/27/2024,"181.10","183.92","179.56","182.63","54,318,848"
02/26/2024,"182.24","182.76","180.65","181.16","40,867,422"
02/23/2024,"185.01","185.04","182.23","182.52","45,119,680"
02/22/2024,"183.48","184.96","182.46","184.37","52,292,207"
02/21/2024,"181.94","182.89","180.66","182.32","41,529,672"
02/20/2024,"181.79","182.43","180.00","181.56","53,665,551"
02/16/2024,"183.42","184.85","181.67","182.31","49,752,473"
02/15/2024,"183.55","184.49","181.35","183.86","65,434,500"
02/14/2024,"185.32","185.53","182.44","184.15","54,630,520"
02/13/2024,"185.77","186.21","183.51","185.04","56,529,527"
02/12/2024,"188.42","188.67","186.79","187.15","41,781,930"
02/09/2024,"188.65","189.99","188.00","188.85","45,155,219"
02/08/2024,"189.39","189.54","187.35","188.32","40,962,047"
02/07/2024,"190.64","191.05","188.61","189.41","53,438,961"
02/06/2024,"186.86","189.31","186.77","189.30","43,490,762"
02/05/2024,"188.15","189.25","185.84","187.68","69,668,812"
02/02/2024,"179.86","187.33","179.25","185.85","102,551,695"
02/01/2024,"183.99","186.95","183.82","186.86","64,885,406"
01/31/2024,"187.04","187.10","184.35","184.40","55,467,801"
