Date,Year,Month,Day,Open,High,Low,Close
2/22/01,2001,2,Thursday,10527.8,10694.5,10278.93,10526.81
2/21/01,2001,2,Wednesday,10721.29,10828.48,10468.32,10526.58
2/20/01,2001,2,Tuesday,10800.23,10988.29,10612.25,10730.88
2/16/01,2001,2,Friday,10884.11,10946.12,10652.33,10799.82
2/15/01,2001,2,Thursday,10800.65,11023.44,10694.43,10891.02
2/14/01,2001,2,Wednesday,10899.42,10989.61,10683.39,10795.41
2/13/01,2001,2,Tuesday,10950.18,11114.44,10774.98,10903.32
2/12/01,2001,2,Monday,10779.42,11024.92,10727.02,10946.77
2/9/01,2001,2,Friday,10878.51,10979.12,10682.77,10781.45
2/8/01,2001,2,Thursday,10940.62,11080.42,10776.04,10880.55
2/7/01,2001,2,Wednesday,10948.95,11140.09,10794.29,10946.72
2/6/01,2001,2,Tuesday,10965.03,11117.8,10820.28,10957.42
2/5/01,2001,2,Monday,10860.44,11061.43,10756.98,10965.85
2/2/01,2001,2,Friday,10982.71,11093.01,10786.69,10864.1
2/1/01,2001,2,Thursday,10884.82,11063.95,10759.85,10983.63
1/31/01,2001,1,Wednesday,10882.25,11072.28,10705.23,10887.36
1/30/01,2001,1,Tuesday,10702.19,10950.38,10609.77,10881.2
1/29/01,2001,1,Monday,10657.13,10832.56,10515.99,10702.19
1/26/01,2001,1,Friday,10727.08,10874.28,10506.26,10659.98
1/25/01,2001,1,Thursday,10644.53,10882.42,10520.9,10729.52
1/24/01,2001,1,Wednesday,10651.85,10795.8,10483.49,10646.97
1/23/01,2001,1,Tuesday,10575.8,10773.94,10459.91,10649.81
1/22/01,2001,1,Monday,10581.9,10749.44,10371.66,10578.24
1/19/01,2001,1,Friday,10686,10792.14,10448.93,10587.59
1/18/01,2001,1,Thursday,10584.57,10834.43,10466.01,10678.28
1/17/01,2001,1,Wednesday,10660.95,10817.35,10442.83,10584.34
1/16/01,2001,1,Tuesday,10525.78,10751.48,10362.72,10652.66
1/12/01,2001,1,Friday,10608.74,10743.75,10339.94,10525.38
1/11/01,2001,1,Thursday,10600.2,10808,10400.94,10609.55
1/10/01,2001,1,Wednesday,10568.48,10728.3,10325.71,10604.27
1/9/01,2001,1,Tuesday,10625.21,10801.09,10387.12,10572.55
1/8/01,2001,1,Monday,10658.73,10818.98,10407.85,10621.35
1/5/01,2001,1,Friday,10912.81,10990.59,10492.84,10662.01
1/4/01,2001,1,Thursday,10944.94,11224.41,10672.59,10912.41
1/3/01,2001,1,Wednesday,10637.42,11212.62,10367.19,10945.75
1/2/01,2001,1,Tuesday,10790.92,10916.98,10450.55,10646.15
12/29/00,2000,12,Friday,10868.76,11031.05,10675.75,10786.85
12/28/00,2000,12,Thursday,10795.2,11009.44,10645.42,10868.76
12/27/00,2000,12,Wednesday,10690.1,10944.6,10551,10803.16
12/26/00,2000,12,Tuesday,10638.21,10813.78,10479.71,10692.44
