YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,195884,2017001325350,4,9,1,2017001958841,0.679,6,0,5303,530306,1,1,13,0,2400,360,125000,350000,4,6,3,4,7,3,4,29,0,3,301,1,13,6,8,813,0,0,6,600,0,0,2,25,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,317160,2017000855682,3,101,3,2017003171601,0.679,12,11,1108,110812,1,2,22,1500,3480,9993,9400,9999999,5,3,3,4,4,4,1,101,1,1,101,2,52,4,1,100,0,0,1,100,0,0,8,81,0,0,2,20,2,313,2,22,0,0,0,0,61,3,0,0
2017,201701,963872,2017000292468,2,64,1,2017009638721,0.679,39,49,4108,410839,1,2,22,700,720,480,69000,9999999,4,7,8,2,2,9,2,65,0,2,201,2,35,1,1,100,0,0,39,3900,0,0,6,63,0,0,1,10,2,23,2,22,6,40,0,34000,78,0,0,0
2017,201701,174198,2017001100553,2,65,1,2017001741981,0.679,6,87,8702,870206,1,1,13,0,7800,5400,381100,3000000,8,5,3,6,3,2,2,51,0,2,201,1,85,1,1,100,0,0,6,600,0,0,11,115,62,6200,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,362488,2017000200269,3,185,1,2017003624881,0.679,13,0,3900,390013,1,1,13,0,2160,9993,41000,177000,7,7,3,5,4,2,2,143,1,2,201,1,35,1,1,100,0,0,45,4500,0,0,7,71,0,0,1,10,2,785,1,14,6,40,0,30000,18,0,0,0
2017,201701,466638,2017001493797,1,90,0,2017004666381,0.679,17,31,3523,352317,3,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,90,0,13,1301,1,28,6,1,100,1,100,17,1700,0,0,2,26,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,327132,2017001022152,4,271,1,2017003271321,0.679,12,9,901,90112,1,1,13,0,3000,9993,69000,200000,4,20,4,4,4,2,1,270,2,1,101,1,33,1,8,826,0,0,36,3600,0,0,8,81,0,0,1,10,2,23,2,22,6,40,0,34000,78,3,0,0
2017,201701,291677,2017000430874,2,57,1,2017002916771,0.679,12,9,901,90112,1,1,13,0,1320,9993,118800,249000,6,7,3,3,4,1,2,56,0,2,201,1,90,1,1,100,0,0,42,4200,0,0,3,30,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1300066,2017000528236,2,73,9,2017013000661,0.679,51,107,10701,1070151,1,1,13,0,3240,840,61000,680000,9,7,3,5,2,2,1,72,0,1,101,2,69,4,1,100,0,0,42,4200,0,0,10,101,61,6109,1,10,2,103,1,13,4,40,22000,22000,58,5,0,0
2017,201701,1258556,2017001328909,5,171,3,2017012585561,0.679,48,201,4619,461948,1,1,13,0,2400,9993,12000,230000,7,2,3,5,4,2,4,192,0,3,301,2,7,6,7,700,1,100,48,4800,0,0,1,12,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
